time,seconds_elapsed,z,y,x
1758974229793613800,0.05061376953125,0.6398414969444275,-2.29022479057312,-0.3601139783859253
1758974229803571000,0.060571044921875,0.5751847624778748,-2.4219508171081543,-0.3096920847892761
1758974229813529000,0.070529052734375,0.517191469669342,-2.582690954208374,-0.2908659279346466
1758974229823486000,0.08048583984375,0.5283815264701843,-2.6976096630096436,-0.21327659487724304
1758974229833442800,0.09044287109375,0.6160570383071899,-2.601499080657959,-0.06683336198329926
1758974229843400000,0.10039990234375,0.7078593969345093,-2.337031602859497,0.18114635348320007
1758974229853356800,0.110356689453125,0.7439870834350586,-1.971958875656128,0.5036565065383911
1758974229863314000,0.12031396484375,0.7761697769165039,-1.482025146484375,0.8164793848991394
1758974229873271000,0.13027099609375,0.841313898563385,-0.9829248189926147,1.029824137687683
1758974229883229000,0.14022900390625,0.845500111579895,-0.6247158050537109,1.0549066066741943
1758974229893185800,0.150185791015625,0.8142812252044678,-0.37264999747276306,0.8646383881568909
1758974229903143000,0.160142822265625,0.8686797022819519,-0.4040502607822418,0.564788818359375
1758974229913100000,0.17010009765625,1.1182674169540405,-0.7378703355789185,0.33758923411369324
1758974229923057000,0.180056884765625,1.6105223894119263,-1.1802312135696411,0.2587825655937195
1758974229933014000,0.190013916015625,2.2740399837493896,-1.6468852758407593,0.34171950817108154
1758974229942971000,0.199970947265625,2.8680191040039062,-2.1410608291625977,0.4726189374923706
1758974229952927700,0.209927734375,3.126941204071045,-2.4689862728118896,0.5706011652946472
1758974229962884900,0.219884765625,3.114445209503174,-2.578465700149536,0.6778469085693359
1758974229972843000,0.229843017578125,2.9224441051483154,-2.702798843383789,0.8108736872673035
1758974229982800100,0.239800048828125,2.600724935531616,-2.7572875022888184,0.9418993592262268
1758974229992756700,0.2497568359375,2.139481544494629,-2.431777000427246,0.9530380368232727
1758974230002713900,0.2597138671875,1.5772672891616821,-1.8082916736602783,0.8041020631790161
1758974230012671000,0.2696708984375,1.141011118888855,-1.3777587413787842,0.5760414600372314
1758974230022627800,0.2796279296875,0.9815961718559265,-1.217685341835022,0.43809133768081665
1758974230032585000,0.2895849609375,1.0326788425445557,-1.2104618549346924,0.4441990256309509
1758974230042542000,0.2995419921875,1.1364609003067017,-1.3867855072021484,0.4786454141139984
1758974230052500000,0.3095,1.2391542196273804,-1.6177446842193604,0.5179848074913025
