time,seconds_elapsed,z,y,x
1758272996965165600,0.04816552734375,-0.03348159417510033,-0.4721670150756836,0.1412954479455948
1758272996975122700,0.058122802734375,0.016777247190475464,-0.5680436491966248,0.2776975929737091
1758272996985080800,0.068080810546875,0.04148685559630394,-0.6068815588951111,0.3669832646846771
1758272996995038700,0.078038818359375,0.0990302637219429,-0.6069181561470032,0.44322144985198975
1758272997004995600,0.08799560546875,0.14805692434310913,-0.5258696675300598,0.5634186863899231
1758272997014953700,0.09795361328125,0.20776627957820892,-0.3757001459598541,0.7325509190559387
1758272997024911600,0.10791162109375,0.231561079621315,-0.358187735080719,0.9250058531761169
1758272997034868700,0.11786865234375,0.23171792924404144,-0.48951974511146545,1.0881457328796387
1758272997044826600,0.12782666015625,0.22289808094501495,-0.4370459020137787,1.1899484395980835
1758272997054784500,0.137784423828125,0.23062089085578918,-0.08027343451976776,1.1964340209960938
1758272997064741600,0.14774169921875,0.2737957835197449,0.41441965103149414,1.1439419984817505
1758272997074699500,0.157699462890625,0.2971135079860687,0.46798208355903625,1.036560297012329
1758272997084657700,0.16765771484375,0.3957015872001648,0.026056870818138123,0.8748457431793213
1758272997094614800,0.17761474609375,0.5710836052894592,-0.26715168356895447,0.8025262951850891
1758272997104572400,0.187572509765625,0.765658438205719,-0.4438476264476776,0.887775719165802
1758272997114530600,0.197530517578125,0.8985776305198669,-0.7105011343955994,1.107433557510376
1758272997124487700,0.20748779296875,0.9039074182510376,-0.770980715751648,1.4168803691864014
1758272997134445600,0.217445556640625,0.7587710618972778,-0.8539987802505493,1.68685781955719
1758272997144403700,0.22740380859375,0.5531867742538452,-0.8112561106681824,1.8359365463256836
1758272997154360600,0.237360595703125,0.4022730588912964,-0.8779402375221252,1.7836023569107056
1758272997164318500,0.247318359375,0.32927900552749634,-0.9620678424835205,1.4869353771209717
1758272997174276600,0.257276611328125,0.2596185505390167,-0.9477044939994812,1.0104737281799316
1758272997184232700,0.267232666015625,0.06742405891418457,-1.0287501811981201,0.4785371422767639
1758272997194190800,0.27719091796875,-0.2205432951450348,-1.425801396369934,-0.09769394993782043
1758272997204148700,0.287148681640625,-0.513577401638031,-2.1584320068359375,-0.6650876998901367
1758272997214105900,0.29710595703125,-0.7969789505004883,-2.635571002960205,-1.1651219129562378
1758272997224064000,0.30706396484375,-1.0437325239181519,-2.5299694538116455,-1.6333324909210205
1758272997234021600,0.317021728515625,-1.1741341352462769,-2.047015905380249,-2.0016918182373047
1758272997243978800,0.326978759765625,-1.0021942853927612,-1.145554780960083,-1.9047911167144775
1758272997253936600,0.3369365234375,-0.7835006713867188,-0.34055253863334656,-1.5883477926254272
1758272997263894800,0.346894775390625,-0.07048138976097107,-0.09244099259376526,-1.3079168796539307
1758272997273852000,0.356851806640625,0.7003695368766785,0.18873965740203857,-1.115648627281189
1758272997283809500,0.3668095703125,0.7284384369850159,0.11993741989135742,-1.2148876190185547
1758272997293767700,0.376767578125,0.784394383430481,-0.28434422612190247,-1.4244776964187622
1758272997303724800,0.386724853515625,1.0969983339309692,-0.8325918912887573,-1.6167925596237183
1758272997313682700,0.3966826171875,1.4077898263931274,-1.3640565872192383,-1.8143179416656494
1758272997323640800,0.406640869140625,1.5688776969909668,-1.7120918035507202,-1.972542405128479
1758272997333597700,0.41659765625,1.586258888244629,-1.9348584413528442,-2.0770318508148193
1758272997343555600,0.4265556640625,1.3881030082702637,-1.7923601865768433,-2.1179707050323486
1758272997353513700,0.436513671875,0.9800668954849243,-1.286886215209961,-2.1678473949432373
1758272997363470800,0.446470947265625,0.5752483010292053,-0.6581972241401672,-2.347719192504883
1758272997373428700,0.4564287109375,0.4239470958709717,-0.42057961225509644,-2.5673575401306152
1758272997383387000,0.466386962890625,0.530388593673706,-0.40718284249305725,-2.6091530323028564
1758272997393344800,0.4763447265625,0.7016826272010803,-0.3756214678287506,-2.4921164512634277
1758272997403301600,0.486301513671875,0.8430594801902771,-0.3041344881057739,-2.2620553970336914
1758272997413259800,0.496259765625,0.903843343257904,-0.3380935490131378,-2.002276659011841
1758272997423217700,0.5062177734375,0.8292077779769897,-0.5783849954605103,-1.7939897775650024
1758272997433174800,0.5161748046875,0.684786319732666,-0.8810535073280334,-1.6794342994689941
1758272997443133000,0.5261328125,0.5538261532783508,-1.0486968755722046,-1.6740059852600098
1758272997453090600,0.536090576171875,0.47709739208221436,-0.9884642362594604,-1.7804323434829712
1758272997463047700,0.546047607421875,0.4608020484447479,-0.8604572415351868,-1.9412322044372559
1758272997473005800,0.556005859375,0.46841108798980713,-0.7439733743667603,-2.101529598236084
1758272997482963700,0.565963623046875,0.4922703504562378,-0.6101165413856506,-2.211259365081787
1758272997492920800,0.5759208984375,0.5374681949615479,-0.5190140604972839,-2.1935207843780518
