time,seconds_elapsed,z,y,x
1758972601417274000,0.053274169921875,-0.8268184879213571,-0.9738720665372907,3.7220255501657724
1758972601427231200,0.063231201171875,-1.908046621197462,-0.9871716930933296,4.835957098647952
1758972601437189400,0.073189453125,-1.738922226679325,-1.6312772599965333,3.6633331227004526
1758972601447146500,0.083146484375,-1.158101529598236,-2.653486218070984,1.5504704697482288
1758972601457103400,0.093103271484375,-1.0624766710549591,-3.7680999035984275,-0.14948007511049508
1758972601467060200,0.103060302734375,-0.8642401638209819,-4.874763214643299,-1.1701987946271897
1758972601477018400,0.113018310546875,-1.1644149505287409,-6.051055357709527,-1.4780007152125239
1758972601486975200,0.122975341796875,-0.819146053597331,-6.205723941373825,-1.480359845559299
1758972601496932400,0.132932373046875,-0.23725626598000524,-5.946876021310687,-0.8035232447907328
1758972601506889200,0.14288916015625,-0.32088147464990613,-5.127550519493222,0.028884733700752258
1758972601516846300,0.152846435546875,-0.9990186366230249,-3.929821328383684,0.18594138154536485
1758972601526804200,0.16280419921875,-1.283536419993639,-3.380194810989499,-0.4357797734618187
1758972601536761300,0.17276123046875,-1.4410849430084227,-2.788560458949208,-0.32500001588463784
1758972601546718500,0.182718505859375,-1.0413730927497147,-2.502443715949356,-0.2964928833246231
1758972601556675000,0.192675048828125,-0.8055734553188085,-2.68217630598247,-1.3916513422757386
1758972601566633200,0.20263330078125,-1.6725637946307659,-3.0655969466537236,-2.820250897720456
1758972601576590300,0.21259033203125,-1.4814239676594734,-3.850933085107803,-4.005428650292754
1758972601586547500,0.22254736328125,0.13116378943622112,-5.021139478519559,-5.736416576841473
1758972601596504300,0.23250439453125,0.5997533610880375,-5.498080114409327,-7.03696667547822
1758972601606462200,0.242462158203125,0.6499784044593572,-5.455248688420653,-7.206362872675061
1758972601616419300,0.25241943359375,0.5286439351201057,-4.532999403223395,-6.34133769595623
1758972601626376400,0.26237646484375,0.5456845017701387,-3.7295670515865087,-4.9348693082988255
1758972601636333300,0.272333251953125,1.4295359595119952,-2.44251867794916,-4.8930958669304845
1758972601646291200,0.282291259765625,2.0981138505011794,-0.9749819274753332,-4.323744073846936
1758972601656248300,0.292248291015625,1.263683134010434,-2.2395735546328126,-0.3910188407152891
1758972601666205400,0.302205322265625,1.167640926837921,-1.8478730152636766,2.9869495263963937
1758972601676162300,0.312162353515625,1.9123653611794114,-0.22307006584778427,5.722943931806087
1758972601686120200,0.3221201171875,1.7471464496672153,1.1463321813493967,7.936508454304933
1758972601696077300,0.332077392578125,0.7269266195833682,2.8993238499134777,8.118096024554967
1758972601706034200,0.3420341796875,-0.3754471775740385,4.8960208144664765,7.567011709567904
1758972601715991300,0.3519912109375,-1.818781945335865,6.020616380304098,5.948636016720533
1758972601725949200,0.36194921875,-2.319819496127963,6.363300521439314,3.4088854834228752
1758972601735906300,0.37190625,-2.8389816094145175,6.6342410303562875,2.4460277089834213
1758972601745863200,0.38186328125,-3.279840585836768,6.285448050951957,1.6875258014410732
1758972601755820300,0.3918203125,-3.022696547082066,5.173503876894713,1.2088310153603552
1758972601765778200,0.401778076171875,-2.7510698094666,4.166882071791589,1.485499838796258
1758972601775735300,0.4117353515625,-1.2085402157202363,2.808010717089474,2.0586188754588366
1758972601785692200,0.421692138671875,-0.3139405694708228,1.8974425173357128,2.195954631528258
1758972601795649300,0.431649169921875,-1.788374093721062,0.7765984129860997,0.9935662164360284
1758972601805607400,0.441607421875,-18.185358616203068,-2.6055449017226695,4.718512037962674
1758972601815564300,0.451564208984375,-34.70284714854955,-4.62064553797245,11.355254237484932
1758972601825521200,0.461521240234375,-11.764116777926683,4.034663804866374,5.087500248655677
1758972601835478300,0.471478271484375,-4.423265939828753,5.937102230793237,4.493953340992332
1758972601845436400,0.4814365234375,-0.09534837968945503,2.9979256784409283,5.498300479161739
1758972601855393500,0.4913935546875,2.186456735342741,1.998462220659852,7.390075764515996
1758972601865350100,0.50135009765625,8.36636234484911,2.33105225328207,11.871910797691344
1758972601875307300,0.511307373046875,12.60928633057475,0.7070055290609598,10.838912150055169
1758972601885265400,0.521265380859375,6.420258087936044,0.5281394927293062,5.0460348503232
1758972601895222300,0.53122216796875,-2.567749716335535,-1.7470131786763667,0.8025070534855127
1758972601905179100,0.54117919921875,-1.3197206630527973,-5.59572683416903,-5.658018747431039
1758972601915136300,0.55113623046875,3.8257846153259276,-7.779780015501379,-9.218516349557042
1758972601925094400,0.561094482421875,0.661771133583784,-6.146596045100688,-6.896781375196576
1758972601935051300,0.57105126953125,-1.8791449363619088,-2.9931653321713205,-2.766391297239065
1758972601945008400,0.58100830078125,-0.38997897627353667,-2.027104962298274,-0.7959054632633924
1758972601954965200,0.59096533203125,0.25050620817542074,-0.9258382495999335,-0.6891045461893082
1758972601964923400,0.60092333984375,-0.44114568440914154,-0.5965881750553846,-1.1236486403763293
1758972601974880300,0.61088037109375,-0.7869220194060355,-0.7288134562432765,-0.2867424736827612
1758972601984837400,0.62083740234375,-2.781180870091915,-4.790412322047352,1.307818628334999
1758972601994794500,0.63079443359375,-4.986361010605097,-9.306513197439909,-1.0683961242318152
1758972602004752400,0.64075244140625,0.8003168499648571,-7.355179807701706,-1.2580991963982582
1758972602014709200,0.650709228515625,2.0599042390942572,-3.1135031916886566,0.8299059325426816
1758972602024666400,0.660666259765625,0.18642273532152176,-2.12821438973248,0.9836182383954525
1758972602034623500,0.67062353515625,-0.00045694998726248737,-1.3455039236068724,0.83494451123178
1758972602044581400,0.680581298828125,0.17074001302123068,-1.0414408972889184,1.3825409841030836
