time,seconds_elapsed,z,y,x
1757491397402946000,0.049946044921875,-0.09569333493709564,-0.19350172579288483,-0.4958033859729767
1757491397412997600,0.05999755859375,-0.06939682364463806,-0.1745995432138443,-0.48224711418151855
1757491397423057700,0.0700576171875,-0.034290388226509094,-0.1690537929534912,-0.46524348855018616
1757491397433098000,0.080097900390625,-0.0292276032269001,-0.20559245347976685,-0.4521535038948059
1757491397443138800,0.090138916015625,-0.06876397132873535,-0.2705260217189789,-0.4410953223705292
1757491397453179600,0.1001796875,-0.02254938706755638,-0.25410526990890503,-0.42199328541755676
1757491397463218700,0.11021875,0.0653998851776123,-0.27300745248794556,-0.3984280228614807
1757491397473260500,0.120260498046875,0.1318323165178299,-0.3272492289543152,-0.3689172863960266
1757491397483275300,0.130275146484375,0.15837863087654114,-0.3433035910129547,-0.3280319571495056
1757491397493341700,0.140341796875,0.17788036167621613,-0.3216535151004791,-0.27219143509864807
1757491397503382800,0.1503828125,0.18694008886814117,-0.2986711263656616,-0.20805723965168
1757491397513421000,0.160421142578125,0.20071285963058472,-0.2523399591445923,-0.14250746369361877
1757491397523459600,0.17045947265625,0.23713494837284088,-0.26043376326560974,-0.09640945494174957
1757491397533476000,0.18047607421875,0.25545424222946167,-0.2808847725391388,-0.07614165544509888
1757491397543542800,0.190542724609375,0.2384672611951828,-0.2937415838241577,-0.08330283313989639
1757491397553559000,0.20055908203125,0.2204144299030304,-0.3209540545940399,-0.115245021879673
1757491397563625700,0.210625732421875,0.21505187451839447,-0.34984856843948364,-0.15861178934574127
1757491397573662000,0.220661865234375,0.2135363668203354,-0.34220442175865173,-0.19065390527248383
1757491397583701800,0.23070166015625,0.20685815811157227,-0.31124481558799744,-0.1929188370704651
1757491397593747200,0.240747314453125,0.18524138629436493,-0.2824002504348755,-0.16853751242160797
1757491397603762700,0.2507626953125,0.15906144678592682,-0.2483929842710495,-0.1262865662574768
1757491397613828900,0.260828857421875,0.14993511140346527,-0.2123039811849594,-0.06863074004650116
1757491397623869200,0.270869140625,0.15876168012619019,-0.19107024371623993,0.0010491959983482957
1757491397633864700,0.28086474609375,0.17443299293518066,-0.16927029192447662,0.0753922238945961
1757491397643946500,0.290946533203125,0.3049163520336151,-0.27423983812332153,0.11860910803079605
1757491397654000400,0.30100048828125,0.43025362491607666,-0.33194562792778015,0.12275592982769012
1757491397664031200,0.31103125,0.47988227009773254,-0.2934584617614746,0.1166272982954979
1757491397674068500,0.321068359375,0.45217016339302063,-0.1951504498720169,0.0923292487859726
1757491397684087300,0.33108740234375,0.37556222081184387,-0.09484399110078812,0.041651416569948196
1757491397694153200,0.3411533203125,0.28917840123176575,-0.004130168352276087,-0.027812020853161812
1757491397704194000,0.351194091796875,0.19821476936340332,0.07051263004541397,-0.1012890487909317
1757491397714230500,0.36123046875,0.12490428984165192,0.10806718468666077,-0.1729341447353363
1757491397724275000,0.37127490234375,0.08796592801809311,0.0972588062286377,-0.2381841540336609
1757491397734290400,0.38129052734375,0.09566003084182739,0.03230857476592064,-0.29189297556877136
1757491397744356900,0.39135693359375,0.1378776729106903,-0.049412135034799576,-0.3243348002433777
1757491397754401300,0.4014013671875,0.19286887347698212,-0.08133766800165176,-0.3309963643550873
1757491397764433400,0.411433349609375,0.21185432374477386,0.01748660020530224,-0.2814509868621826
1757491397774474000,0.421473876953125,0.15573066473007202,0.1418912708759308,-0.17979556322097778
1757491397784494300,0.431494384765625,0.048779286444187164,0.2025780975818634,-0.08311963826417923
1757491397794556000,0.441555908203125,-0.034456927329301834,0.17526569962501526,-0.02020118571817875
1757491397804574200,0.45157421875,-0.054624807089567184,0.09685911238193512,0.007327718194574118
1757491397814641000,0.461640869140625,-0.04578158259391785,0.01941845379769802,0.00782733503729105
1757491397824655400,0.4716552734375,-0.039136677980422974,-0.028328292071819305,-0.006994639988988638
1757491397834721800,0.4817216796875,-0.0432501919567585,-0.0518602579832077,-0.022432809695601463
1757491397844762400,0.491762451171875,-0.050161562860012054,-0.05610700696706772,-0.0354062020778656
1757491397854786600,0.50178662109375,-0.0506778322160244,-0.051210757344961166,-0.05017821490764618
1757491397864817700,0.511817626953125,-0.04546516016125679,-0.0391533300280571,-0.06275191158056259
1757491397874856000,0.52185595703125,-0.04058556631207466,-0.03627220541238785,-0.06866405159235
1757491397884924400,0.53192431640625,-0.03693836182355881,-0.046447739005088806,-0.061802640557289124
1757491397894965000,0.541965087890625,-0.03645539656281471,-0.05009494721889496,-0.04338342323899269
1757491397905004500,0.552004638671875,-0.036172281950712204,-0.033008038997650146,-0.021783307194709778
1757491397915046000,0.5620458984375,-0.028744639828801155,-0.0021316998172551394,-0.009759188629686832
1757491397925082400,0.572082275390625,-0.014522205106914043,0.020434340462088585,-0.00807714369148016
1757491397935127000,0.582126953125,-0.00662825396284461,0.04363323003053665,-0.01425574254244566
1757491397945163800,0.592163818359375,-0.008809915743768215,0.0683143138885498,-0.024497894570231438
1757491397955207000,0.60220703125,-0.011091500520706177,0.08491826057434082,-0.04338342323899269
1757491397965248800,0.612248779296875,-0.002781202085316181,0.05607369914650917,-0.05520769581198692
1757491397975246600,0.62224658203125,-0.007960566319525242,0.035173047333955765,-0.0539419986307621
1757491397985330200,0.632330078125,-0.018968798220157623,0.031459227204322815,-0.04806317016482353
1757491397995367200,0.6423671875,-0.02216634713113308,0.0283949077129364,-0.040019333362579346
1757491398005409000,0.652408935546875,-0.021383613348007202,0.04011925682425499,-0.031159456819295883
1757491398015447800,0.66244775390625,-0.017769716680049896,0.04751358926296234,-0.02299904264509678
